開始日時：2015/12/28 21:42:10
棋戦：レーティング対局室(早指2)
手合割：平手
先手：sagasan
後手：mu_mu_
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:20/00:00:20)
2 ３四歩(33)   ( 0:03/00:00:03)
3 ２六歩(27)   ( 0:02/00:00:22)
4 ８八角成(22)   ( 0:03/00:00:06)
5 ８八銀(79)   ( 0:02/00:00:24)
6 ２二銀(31)   ( 0:01/00:00:07)
7 ７七銀(88)   ( 0:02/00:00:26)
8 ３三銀(22)   ( 0:03/00:00:10)
9 ６八玉(59)   ( 0:07/00:00:33)
10 ３二金(41)   ( 0:02/00:00:12)
11 ５八金(49)   ( 0:05/00:00:38)
12 ６二銀(71)   ( 0:09/00:00:21)
13 ２五歩(26)   ( 0:08/00:00:46)
14 ６四歩(63)   ( 0:05/00:00:26)
15 ３八銀(39)   ( 0:02/00:00:48)
16 ６三銀(62)   ( 0:02/00:00:28)
17 ２七銀(38)   ( 0:01/00:00:49)
18 ７四歩(73)   ( 0:06/00:00:34)
19 ２六銀(27)   ( 0:03/00:00:52)
20 １四歩(13)   ( 0:01/00:00:35)
21 １六歩(17)   ( 0:01/00:00:53)
22 ４四銀(33)   ( 0:25/00:01:00)
23 ２四歩(25)   ( 0:07/00:01:00)
24 ２四歩(23)   ( 0:07/00:01:07)
25 １五歩(16)   ( 0:01/00:01:01)
26 １五歩(14)   ( 0:27/00:01:34)
27 １五銀(26)   ( 0:03/00:01:04)
28 １五香(11)   ( 0:15/00:01:49)
29 １五香(19)   ( 0:02/00:01:06)
30 １六歩打     ( 0:29/00:02:18)
31 １八歩打     ( 0:02/00:01:08)
32 １九角打     ( 0:33/00:02:51)
33 ２四飛(28)   ( 0:20/00:01:28)
34 ２三歩打     ( 0:26/00:03:17)
35 １四飛(24)   ( 0:23/00:01:51)
36 １三銀打     ( 0:17/00:03:34)
37 ３四飛(14)   ( 0:02/00:01:53)
38 ３三銀(44)   ( 0:29/00:04:03)
39 ３六飛(34)   ( 0:05/00:01:58)
40 ２四銀(13)   ( 0:25/00:04:28)
41 １二香成(15)   ( 0:29/00:02:27)
42 １三桂(21)   ( 0:24/00:04:52)
43 １三成香(12)   ( 0:14/00:02:41)
44 １三銀(24)   ( 0:05/00:04:57)
45 １六飛(36)   ( 0:30/00:03:11)
46 ２二銀(33)   ( 0:39/00:05:36)
47 ２四歩打     ( 0:58/00:04:09)
48 ２四銀(13)   ( 0:26/00:06:02)
49 ２一角打     ( 0:46/00:04:55)
50 １五歩打     ( 0:28/00:06:30)
51 ５六飛(16)   ( 0:18/00:05:13)
52 ５四香打     ( 0:37/00:07:07)
53 ３六飛(56)   ( 0:22/00:05:35)
54 ３三金(32)   ( 0:28/00:07:35)
55 ４五桂打     ( 0:26/00:06:01)
56 ２五銀(24)   ( 0:43/00:08:18)
57 ３三飛成(36)   ( 0:11/00:06:12)
58 ３三銀(22)   ( 0:10/00:08:28)
59 ３三桂成(45)   ( 0:04/00:06:16)
60 ３九飛打     ( 0:28/00:08:56)
61 ４三角成(21)   ( 0:04/00:06:20)
62 ６二金(61)   ( 0:33/00:09:29)
63 ２五馬(43)   ( 0:07/00:06:27)
64 ２九飛成(39)   ( 0:25/00:09:54)
65 ４二金打     ( 0:03/00:06:30)
66 投了         ( 0:23/00:10:17) 

