開始日時：2015/12/28 22:03:11
棋戦：レーティング対局室(早指2)
手合割：平手
先手：qazwsxedcrfv
後手：mu_mu_
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:06/00:00:06)
2 ３四歩(33)   ( 0:10/00:00:10)
3 ２五歩(26)   ( 0:02/00:00:08)
4 ３三角(22)   ( 0:02/00:00:12)
5 ６八玉(59)   ( 0:01/00:00:09)
6 ４四歩(43)   ( 0:09/00:00:21)
7 ７六歩(77)   ( 0:03/00:00:12)
8 ４二飛(82)   ( 0:05/00:00:26)
9 ５八金(49)   ( 0:02/00:00:14)
10 ３二銀(31)   ( 0:08/00:00:34)
11 ４六歩(47)   ( 0:03/00:00:17)
12 ６二玉(51)   ( 0:08/00:00:42)
13 ７八玉(68)   ( 0:03/00:00:20)
14 ７二玉(62)   ( 0:01/00:00:43)
15 ４八銀(39)   ( 0:01/00:00:21)
16 ８二玉(72)   ( 0:11/00:00:54)
17 ４七銀(48)   ( 0:01/00:00:22)
18 ７二銀(71)   ( 0:08/00:01:02)
19 ５六銀(47)   ( 0:05/00:00:27)
20 ５二金(41)   ( 0:14/00:01:16)
21 １六歩(17)   ( 0:15/00:00:42)
22 １四歩(13)   ( 0:08/00:01:24)
23 ３六歩(37)   ( 0:08/00:00:50)
24 ９四歩(93)   ( 0:13/00:01:37)
25 ９六歩(97)   ( 0:03/00:00:53)
26 ６四歩(63)   ( 0:29/00:02:06)
27 ３七桂(29)   ( 0:18/00:01:11)
28 ６三金(52)   ( 0:13/00:02:19)
29 ４八飛(28)   ( 0:12/00:01:23)
30 ７四歩(73)   ( 0:23/00:02:42)
31 ４五歩(46)   ( 0:07/00:01:30)
32 ４五歩(44)   ( 0:21/00:03:03)
33 ３三角成(88)   ( 0:08/00:01:38)
34 ３三銀(32)   ( 0:09/00:03:12)
35 ４五桂(37)   ( 0:04/00:01:42)
36 ３七角打     ( 0:33/00:03:45)
37 ４七飛(48)   ( 0:11/00:01:53)
38 １九角成(37)   ( 0:18/00:04:03)
39 ３三桂成(45)   ( 0:04/00:01:57)
40 ４七飛成(42)   ( 0:02/00:04:05)
41 ４七銀(56)   ( 0:02/00:01:59)
42 ３三桂(21)   ( 0:13/00:04:18)
43 ３一飛打     ( 0:26/00:02:25)
44 ４五桂(33)   ( 0:28/00:04:46)
45 ４三角打     ( 0:21/00:02:46)
46 ５二香打     ( 0:56/00:05:42)
47 ３四角成(43)   ( 0:27/00:03:13)
48 ５七桂成(45)   ( 0:27/00:06:09)
49 ５七金(58)   ( 0:11/00:03:24)
50 ４八飛打     ( 0:39/00:06:48)
51 ５八金(57)   ( 0:20/00:03:44)
52 １八飛成(48)   ( 0:33/00:07:21)
53 ４五馬(34)   ( 0:23/00:04:07)
54 ５四歩(53)   ( 0:25/00:07:46)
55 ３五馬(45)   ( 0:25/00:04:32)
56 ４四歩打     ( 0:27/00:08:13)
57 ４三歩打     ( 0:27/00:04:59)
58 ３七馬(19)   ( 0:31/00:08:44)
59 ６八銀(79)   ( 0:32/00:05:31)
60 ５五桂打     ( 0:40/00:09:24)
61 ５六銀(47)   ( 0:27/00:05:58)
62 ３八馬(37)   ( 0:26/00:09:50)
63 ５五銀(56)   ( 0:22/00:06:20)
64 ５五歩(54)   ( 0:04/00:09:54)
65 ４二歩成(43)   ( 0:03/00:06:23)
66 ５六歩(55)   ( 0:27/00:10:21)
67 ５二と(42)   ( 0:02/00:06:25)
68 ５二金(61)   ( 0:27/00:10:48)
69 ７一銀打     ( 0:26/00:06:51)
70 ７三玉(82)   ( 0:26/00:11:14)
71 ５五桂打     ( 0:26/00:07:17)
72 ５三金(63)   ( 0:28/00:11:42)
73 ３三飛成(31)   ( 0:25/00:07:42)
74 ４二銀打     ( 0:31/00:12:13)
75 ２三龍(33)   ( 0:16/00:07:58)
76 ３三歩打     ( 0:19/00:12:32)
77 ４三歩打     ( 0:23/00:08:21)
78 ３七馬(38)   ( 0:14/00:12:46)
79 ４二歩成(43)   ( 0:13/00:08:34)
80 ５五馬(37)   ( 0:33/00:13:19)
81 ５二と(42)   ( 0:11/00:08:45)
82 ５二金(53)   ( 0:28/00:13:47)
83 ３三龍(23)   ( 0:12/00:08:57)
84 ４三桂打     ( 0:22/00:14:09)
85 ７七桂(89)   ( 0:28/00:09:25)
86 ４五歩(44)   ( 0:30/00:14:39)
87 ６二銀打     ( 0:17/00:09:42)
88 ８四玉(73)   ( 0:30/00:15:09)
89 ８六香打     ( 0:19/00:10:01)
90 ９三玉(84)   ( 0:07/00:15:16)
91 ９五歩(96)   ( 0:20/00:10:21)
92 ９五歩(94)   ( 0:28/00:15:44)
93 ９四歩打     ( 0:25/00:10:46)
94 ９四玉(93)   ( 0:05/00:15:49)
95 ８五金打     ( 0:11/00:10:57)
96 ９三玉(94)   ( 0:16/00:16:05)
97 ９五香(99)   ( 0:03/00:11:00)
98 投了         ( 0:07/00:16:12) 

