開始日時：2015/12/29 10:32:31
棋戦：レーティング対局室
手合割：平手
先手：my_club_v
後手：frontier1625（グルメ）
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ８四歩(83)   ( 0:01/00:00:01)
3 ６八飛(28)   ( 0:07/00:00:09)
4 ７二銀(71)   ( 0:02/00:00:03)
5 ４八玉(59)   ( 0:02/00:00:11)
6 ６四歩(63)   ( 0:01/00:00:04)
7 ３八玉(48)   ( 0:07/00:00:18)
8 ６三銀(72)   ( 0:01/00:00:05)
9 ６六歩(67)   ( 0:02/00:00:20)
10 ５四銀(63)   ( 0:01/00:00:06)
11 ７八銀(79)   ( 0:02/00:00:22)
12 ３四歩(33)   ( 0:01/00:00:07)
13 ６七銀(78)   ( 0:01/00:00:23)
14 ５二金(61)   ( 0:01/00:00:08)
15 ５六銀(67)   ( 0:02/00:00:25)
16 ６二飛(82)   ( 0:02/00:00:10)
17 ７七角(88)   ( 0:02/00:00:27)
18 ９四歩(93)   ( 0:01/00:00:11)
19 ２八玉(38)   ( 0:01/00:00:28)
20 ４二玉(51)   ( 0:01/00:00:12)
21 ３八銀(39)   ( 0:02/00:00:30)
22 ３二銀(31)   ( 0:01/00:00:13)
23 １六歩(17)   ( 0:01/00:00:31)
24 ３一玉(42)   ( 0:01/00:00:14)
25 １五歩(16)   ( 0:02/00:00:33)
26 ７四歩(73)   ( 0:01/00:00:15)
27 ５八金(69)   ( 0:01/00:00:34)
28 ７三桂(81)   ( 0:01/00:00:16)
29 ４六歩(47)   ( 0:07/00:00:41)
30 ８五桂(73)   ( 0:06/00:00:22)
31 ８八角(77)   ( 0:03/00:00:44)
32 ６五歩(64)   ( 0:02/00:00:24)
33 ８六歩(87)   ( 0:15/00:00:59)
34 ６六歩(65)   ( 0:01/00:00:25)
35 ８五歩(86)   ( 0:01/00:01:00)
36 ６七歩成(66)   ( 0:31/00:00:56)
37 ６七銀(56)   ( 0:07/00:01:07)
38 ８八角成(22)   ( 0:03/00:00:59)
39 ８八飛(68)   ( 0:02/00:01:09)
40 ６六歩打     ( 0:01/00:01:00)
41 ５六銀(67)   ( 0:22/00:01:31)
42 ６七角打     ( 0:02/00:01:02)
43 ６七銀(56)   ( 0:31/00:02:02)
44 ６七歩成(66)   ( 0:02/00:01:04)
45 ４八金(58)   ( 0:02/00:02:04)
46 ５八銀打     ( 0:35/00:01:39)
47 ３九金(49)   ( 0:11/00:02:15)
48 ５九銀(58)   ( 0:07/00:01:46)
49 ４九金(48)   ( 0:03/00:02:18)
50 ６八銀成(59)   ( 0:22/00:02:08)
51 ７三角打     ( 1:12/00:03:30)
52 ６六飛(62)   ( 0:09/00:02:17)
53 ８四角成(73)   ( 0:06/00:03:36)
54 ７六飛(66)   ( 0:16/00:02:33)
55 ６四桂打     ( 1:31/00:05:07)
56 ４二金(52)   ( 0:09/00:02:42)
57 ６八飛(88)   ( 1:29/00:06:36)
58 ６八と(67)   ( 0:07/00:02:49)
59 ７七歩打     ( 0:23/00:06:59)
60 ８六飛(76)   ( 0:38/00:03:27)
61 ７四馬(84)   ( 0:11/00:07:10)
62 ８九飛成(86)   ( 0:18/00:03:45)
63 ５二銀打     ( 0:02/00:07:12)
64 ６三歩打     ( 0:15/00:04:00)
65 ４一銀成(52)   ( 0:04/00:07:16)
66 ４一金(42)   ( 0:02/00:04:02)
67 ５二金打     ( 0:52/00:08:08)
68 ５九と(68)   ( 4:02/00:08:04)
69 ４一金(52)   ( 0:07/00:08:15)
70 ４一銀(32)   ( 0:04/00:08:08)
71 ５九金(49)   ( 0:32/00:08:47)
72 ５九龍(89)   ( 0:05/00:08:13)
73 ４九金(39)   ( 0:01/00:08:48)
74 ９九龍(59)   ( 0:49/00:09:02)
75 ５二金打     ( 0:30/00:09:18)
76 ４八金打     ( 0:13/00:09:15)
77 ４一金(52)   ( 0:14/00:09:32)
78 ４一玉(31)   ( 0:01/00:09:16)
79 ６九歩打     ( 1:10/00:10:42)
80 １六香打     ( 1:24/00:10:40)
81 ４八金(49)   ( 0:19/00:11:01)
82 １九香成(16)   ( 0:03/00:10:43)
83 １九玉(28)   ( 1:00/00:12:01)
84 ３九銀打     ( 0:04/00:10:47)
85 ２八銀打     ( 0:17/00:12:18)
86 ６九龍(99)   ( 0:29/00:11:16)
87 ４九金(48)   ( 0:09/00:12:27)
88 ２八銀成(39)   ( 0:03/00:11:19)
89 ２八玉(19)   ( 0:10/00:12:37)
90 ８八飛打     ( 1:23/00:12:42)
91 ５八銀打     ( 0:19/00:12:56)
92 ８九龍(69)   ( 0:46/00:13:28)
93 ５一角打     ( 1:59/00:14:55) 

94 ４二金打     ( 0:56/00:14:24)
95 ５二金打     ( 0:52/00:15:47)
96 ５二金(42)   ( 0:03/00:14:27)
97 ５二桂成(64)   ( 0:01/00:15:48)
98 ５二玉(41)   ( 0:01/00:14:28)
99 ４二金打     ( 0:08/00:15:56)
100 ６一玉(52)   ( 0:01/00:14:29)
101 ７三馬(74)   ( 0:20/00:16:16)
102 ７二金打     ( 0:30/00:14:59)
103 ７二馬(73)   ( 0:59/00:17:15)
104 ７二玉(61)   ( 0:02/00:15:01)
105 ７三金打     ( 0:03/00:17:18)
106 ８一玉(72)   ( 0:02/00:15:03)
107 ６二角成(51)   ( 0:03/00:17:21)
108 １六桂打     ( 0:27/00:15:30)
109 ３九玉(28)   ( 0:12/00:17:33)
110 ２八銀打     ( 0:58/00:16:28)
