開始日時：2015/12/29 11:11:46
棋戦：レーティング対局室
手合割：平手
先手：frontier1625（グルメ）
後手：Yorosiku009
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:09/00:00:09)
3 ７六歩(77)   ( 0:02/00:00:04)
4 ８八角成(22)   ( 0:03/00:00:12)
5 ８八銀(79)   ( 0:02/00:00:06)
6 ２二銀(31)   ( 0:02/00:00:14)
7 ７七銀(88)   ( 0:01/00:00:07)
8 ３三銀(22)   ( 0:02/00:00:16)
9 ４八銀(39)   ( 0:00/00:00:07)
10 ２二飛(82)   ( 0:04/00:00:20)
11 ４六歩(47)   ( 0:01/00:00:08)
12 ５二金(41)   ( 0:02/00:00:22)
13 ４七銀(48)   ( 0:01/00:00:09)
14 ６二玉(51)   ( 0:06/00:00:28)
15 ５八金(49)   ( 0:01/00:00:10)
16 ７二玉(62)   ( 0:02/00:00:30)
17 ６八玉(59)   ( 0:01/00:00:11)
18 ８二玉(72)   ( 0:00/00:00:30)
19 ５六銀(47)   ( 0:06/00:00:17)
20 ９二香(91)   ( 0:01/00:00:31)
21 ４五歩(46)   ( 0:01/00:00:18)
22 ９一玉(82)   ( 0:01/00:00:32)
23 ５五銀(56)   ( 0:05/00:00:23)
24 ８二銀(71)   ( 0:01/00:00:33)
25 ４八飛(28)   ( 0:01/00:00:24)
26 ４二飛(22)   ( 0:04/00:00:37)
27 ６六角打     ( 0:02/00:00:26)
28 ２二角打     ( 0:03/00:00:40)
29 ３六歩(37)   ( 0:05/00:00:31)
30 ６二金(52)   ( 0:01/00:00:41)
31 ３七桂(29)   ( 0:01/00:00:32)
32 ２四銀(33)   ( 0:09/00:00:50)
33 ４四歩(45)   ( 0:02/00:00:34)
34 ４四歩(43)   ( 0:01/00:00:51)
35 ４四銀(55)   ( 0:01/00:00:35)
36 ３五歩(34)   ( 0:04/00:00:55)
37 ４三歩打     ( 0:09/00:00:44)
38 ３二飛(42)   ( 0:03/00:00:58)
39 ４五桂(37)   ( 0:14/00:00:58)
40 ３六歩(35)   ( 0:02/00:01:00)
41 ５三桂成(45)   ( 0:05/00:01:03)
42 ７二金(62)   ( 0:05/00:01:05)
43 ４二歩成(43)   ( 0:06/00:01:09)
44 ３四飛(32)   ( 0:02/00:01:07)
45 ４三銀(44)   ( 0:09/00:01:18)
46 ３五飛(34)   ( 0:04/00:01:11)
47 ２二角成(66)   ( 0:03/00:01:21)
48 ３七歩成(36)   ( 0:04/00:01:15)
49 ４四飛(48)   ( 0:04/00:01:25)
50 ３三銀(24)   ( 0:03/00:01:18)
51 ３三馬(22)   ( 0:16/00:01:41)
52 ３三桂(21)   ( 0:21/00:01:39)
53 ５二と(42)   ( 0:03/00:01:44)
54 ５二金(61)   ( 0:07/00:01:46)
55 ５二銀成(43)   ( 0:01/00:01:45)
56 ４五桂(33)   ( 0:06/00:01:52)
57 ４六金打     ( 0:11/00:01:56)
58 ４八と(37)   ( 0:07/00:01:59)
59 ３五金(46)   ( 0:03/00:01:59)
60 ５八と(48)   ( 0:02/00:02:01)
61 ５八金(69)   ( 0:01/00:02:00)
62 ３七桂成(45)   ( 0:06/00:02:07)
63 ４一飛成(44)   ( 0:08/00:02:08)
64 ４七歩打     ( 0:06/00:02:13)
65 ３一飛打     ( 0:04/00:02:12)
66 ４八歩成(47)   ( 0:04/00:02:17)
67 ８一龍(41)   ( 0:01/00:02:13)
68 投了         ( 0:03/00:02:20) 

