開始日時：2015/12/29 22:13:24
棋戦：レーティング対局室
手合割：平手
先手：frontier1625
後手：pochipon
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:06/00:00:06)
2 ３四歩(33)   ( 0:04/00:00:04)
3 ７六歩(77)   ( 0:03/00:00:09)
4 ３二金(41)   ( 0:07/00:00:11)
5 ４八銀(39)   ( 0:04/00:00:13)
6 １四歩(13)   ( 0:01/00:00:12)
7 ４六歩(47)   ( 0:05/00:00:18)
8 １五歩(14)   ( 0:01/00:00:13)
9 ４七銀(48)   ( 0:03/00:00:21)
10 ５二金(61)   ( 0:01/00:00:14)
11 ５六銀(47)   ( 0:03/00:00:24)
12 ６二銀(71)   ( 0:03/00:00:17)
13 ５八金(49)   ( 0:01/00:00:25)
14 ８四歩(83)   ( 0:06/00:00:23)
15 ６八玉(59)   ( 0:03/00:00:28)
16 ８五歩(84)   ( 0:01/00:00:24)
17 ２二角成(88)   ( 0:04/00:00:32)
18 ２二銀(31)   ( 0:02/00:00:26)
19 ７七角打     ( 0:01/00:00:33)
20 ３三銀(22)   ( 0:02/00:00:28)
21 ７八銀(79)   ( 0:01/00:00:34)
22 ６四歩(63)   ( 0:04/00:00:32)
23 ７九玉(68)   ( 0:01/00:00:35)
24 ６三銀(62)   ( 0:01/00:00:33)
25 ３六歩(37)   ( 0:04/00:00:39)
26 ９四歩(93)   ( 0:01/00:00:34)
27 ３七桂(29)   ( 0:03/00:00:42)
28 ４二玉(51)   ( 0:17/00:00:51)
29 ４八飛(28)   ( 0:05/00:00:47)
30 ３五歩(34)   ( 0:19/00:01:10)
31 ３五歩(36)   ( 0:04/00:00:51)
32 ２七角打     ( 0:11/00:01:21)
33 ４五銀(56)   ( 0:12/00:01:03)
34 ５四銀(63)   ( 0:13/00:01:34)
35 ２五桂(37)   ( 0:18/00:01:21)
36 ２二銀(33)   ( 0:05/00:01:39)
37 ３四歩(35)   ( 0:09/00:01:30)
38 ４五銀(54)   ( 0:19/00:01:58)
39 ４五歩(46)   ( 0:03/00:01:33)
40 ３七銀打     ( 0:17/00:02:15)
41 ４七飛(48)   ( 0:08/00:01:41)
42 ３六角成(27)   ( 0:09/00:02:24)
43 ３三銀打     ( 0:07/00:01:48)
44 ３三桂(21)   ( 0:05/00:02:29)
45 ３三歩成(34)   ( 0:02/00:01:50)
46 ３三銀(22)   ( 0:01/00:02:30)
47 ３三桂成(25)   ( 0:04/00:01:54)
48 ３三金(32)   ( 0:01/00:02:31)
49 ３四歩打     ( 0:02/00:01:56)
50 ３四金(33)   ( 0:13/00:02:44)
51 １一角成(77)   ( 0:03/00:01:59)
52 ４六桂打     ( 0:37/00:03:21)
53 ４八銀打     ( 0:54/00:02:53)
54 ５八桂成(46)   ( 0:06/00:03:27)
55 ５八金(69)   ( 0:02/00:02:55)
56 ４八銀成(37)   ( 0:07/00:03:34)
57 ４八金(58)   ( 0:08/00:03:03)
58 ４六銀打     ( 0:13/00:03:47)
59 ４六飛(47)   ( 0:21/00:03:24)
60 ４六馬(36)   ( 0:02/00:03:49)
61 ４七香打     ( 0:01/00:03:25)
62 ３五馬(46)   ( 0:08/00:03:57)
63 ４四銀打     ( 0:11/00:03:36)
64 ８六歩(85)   ( 0:29/00:04:26)
65 ８六歩(87)   ( 0:04/00:03:40)
66 ５九飛打     ( 0:11/00:04:37)
67 ８八玉(79)   ( 0:10/00:03:50)
68 ４四歩(43)   ( 0:03/00:04:40)
69 ４四歩(45)   ( 0:03/00:03:53)
70 ４六歩打     ( 0:02/00:04:42)
71 ４三銀打     ( 0:03/00:03:56)
72 ４三金(52)   ( 0:15/00:04:57)
73 ４三歩成(44)   ( 0:02/00:03:58)
74 ４三玉(42)   ( 0:01/00:04:58)
75 ５五桂打     ( 0:10/00:04:08)
76 ５四玉(43)   ( 0:23/00:05:21)
77 ５六金打     ( 0:36/00:04:44)
78 ４七歩成(46)   ( 0:30/00:05:51)
79 ６六桂打     ( 0:10/00:04:54)
80 ４四玉(54)   ( 0:27/00:06:18)
81 ４四馬(11)   ( 0:08/00:05:02)
82 投了         ( 0:00/00:06:18) 

