開始日時：2015/12/29 22:58:03
棋戦：レーティング対局室
手合割：平手
先手：fjkkkfj
後手：frontier1625
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:05/00:00:05)
2 ３四歩(33)   ( 0:01/00:00:01)
3 ７六歩(77)   ( 0:04/00:00:09)
4 ８四歩(83)   ( 0:01/00:00:02)
5 ２五歩(26)   ( 0:04/00:00:13)
6 ３二金(41)   ( 0:01/00:00:03)
7 ７八金(69)   ( 0:02/00:00:15)
8 ７二銀(71)   ( 0:02/00:00:05)
9 ５八玉(59)   ( 0:11/00:00:26)
10 ６四歩(63)   ( 0:01/00:00:06)
11 ３八銀(39)   ( 0:09/00:00:35)
12 ６三銀(72)   ( 0:01/00:00:07)
13 １六歩(17)   ( 0:21/00:00:56)
14 ５四銀(63)   ( 0:01/00:00:08)
15 ２四歩(25)   ( 0:04/00:01:00)
16 ２四歩(23)   ( 0:01/00:00:09)
17 ２四飛(28)   ( 0:02/00:01:02)
18 ２三歩打     ( 0:09/00:00:18)
19 ３四飛(24)   ( 0:03/00:01:05)
20 ３三角(22)   ( 0:11/00:00:29)
21 ３五飛(34)   ( 0:06/00:01:11)
22 ２二銀(31)   ( 0:04/00:00:33)
23 １五歩(16)   ( 0:08/00:01:19)
24 ６五歩(64)   ( 0:10/00:00:43)
25 ２五飛(35)   ( 0:20/00:01:39)
26 ４二玉(51)   ( 0:08/00:00:51)
27 ７五歩(76)   ( 0:15/00:01:54)
28 ６二飛(82)   ( 0:16/00:01:07)
29 ６八銀(79)   ( 0:43/00:02:37)
30 ６六歩(65)   ( 0:11/00:01:18)
31 ６六歩(67)   ( 0:06/00:02:43)
32 ６六角(33)   ( 0:03/00:01:21)
33 ６三歩打     ( 0:37/00:03:20)
34 ６三飛(62)   ( 0:08/00:01:29)
35 ７七桂(89)   ( 0:07/00:03:27)
36 ４四角(66)   ( 0:23/00:01:52)
37 ３六歩(37)   ( 1:02/00:04:29)
38 ５五銀(54)   ( 0:21/00:02:13)
39 ３七桂(29)   ( 0:19/00:04:48)
40 ６六銀(55)   ( 0:05/00:02:18)
41 ６四歩打     ( 0:06/00:04:54)
42 ６四飛(63)   ( 0:08/00:02:26)
43 ６五歩打     ( 0:07/00:05:01)
44 ６二飛(64)   ( 1:00/00:03:26)
45 ４六歩(47)   ( 0:06/00:05:07)
46 ７五銀(66)   ( 0:06/00:03:32)
47 ４七銀(38)   ( 0:08/00:05:15)
48 ７六銀(75)   ( 0:04/00:03:36)
49 ４五桂(37)   ( 0:11/00:05:26)
50 ６七歩打     ( 0:12/00:03:48)
51 ７九銀(68)   ( 0:22/00:05:48)
52 ７七銀成(76)   ( 0:17/00:04:05)
53 ７七金(78)   ( 0:13/00:06:01)
54 ６五飛(62)   ( 0:02/00:04:07)
55 ５三桂成(45)   ( 0:08/00:06:09)
56 ５三玉(42)   ( 0:06/00:04:13)
57 ６五飛(25)   ( 0:05/00:06:14)
58 投了         ( 0:27/00:04:40) 

