開始日時：2015/12/29 23:19:49
棋戦：レーティング対局室
手合割：平手
先手：frontier1625
後手：muhoomatu
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:04/00:00:04)
2 ３四歩(33)   ( 0:05/00:00:05)
3 ７六歩(77)   ( 0:01/00:00:05)
4 ３二金(41)   ( 0:02/00:00:07)
5 ４八銀(39)   ( 0:02/00:00:07)
6 ５二金(61)   ( 0:03/00:00:10)
7 ４六歩(47)   ( 0:01/00:00:08)
8 ８八角成(22)   ( 0:08/00:00:18)
9 ８八銀(79)   ( 0:02/00:00:10)
10 ２二銀(31)   ( 0:05/00:00:23)
11 ７七銀(88)   ( 0:02/00:00:12)
12 ３三銀(22)   ( 0:02/00:00:25)
13 ４七銀(48)   ( 0:01/00:00:13)
14 ６二銀(71)   ( 0:03/00:00:28)
15 ５八金(49)   ( 0:02/00:00:15)
16 ４二玉(51)   ( 0:02/00:00:30)
17 ６八玉(59)   ( 0:01/00:00:16)
18 ６四歩(63)   ( 0:02/00:00:32)
19 ５六銀(47)   ( 0:01/00:00:17)
20 ６三銀(62)   ( 0:02/00:00:34)
21 １六歩(17)   ( 0:04/00:00:21)
22 １四歩(13)   ( 0:02/00:00:36)
23 ３六歩(37)   ( 0:04/00:00:25)
24 ５四銀(63)   ( 0:03/00:00:39)
25 ３七桂(29)   ( 0:02/00:00:27)
26 ４四銀(33)   ( 0:05/00:00:44)
27 ４五歩(46)   ( 0:07/00:00:34)
28 ５五銀(44)   ( 0:02/00:00:46)
29 ５五銀(56)   ( 0:15/00:00:49)
30 ５五銀(54)   ( 0:02/00:00:48)
31 ４四歩(45)   ( 0:38/00:01:27)
32 ４四歩(43)   ( 0:18/00:01:06)
33 ６六銀(77)   ( 0:06/00:01:33)
34 ４六銀(55)   ( 0:11/00:01:17)
35 ４八飛(28)   ( 0:04/00:01:37)
36 ３七銀成(46)   ( 0:04/00:01:21)
37 ４四飛(48)   ( 0:01/00:01:38)
38 ４三銀打     ( 0:07/00:01:28)
39 ６四飛(44)   ( 0:07/00:01:45)
40 ６三歩打     ( 0:02/00:01:30)
41 ６五飛(64)   ( 0:08/00:01:53)
42 ８八角打     ( 0:17/00:01:47)
43 ７七角打     ( 0:04/00:01:57)
44 ７七角成(88)   ( 0:07/00:01:54)
45 ７七銀(66)   ( 0:01/00:01:58)
46 ７四角打     ( 0:15/00:02:09)
47 ７五飛(65)   ( 0:21/00:02:19)
48 ２九角成(74)   ( 0:12/00:02:21)
49 ５五角打     ( 0:05/00:02:24)
50 ３六成銀(37)   ( 0:26/00:02:47)
51 ７三角成(55)   ( 0:12/00:02:36)
52 ７三桂(81)   ( 0:09/00:02:56)
53 ７三飛成(75)   ( 0:01/00:02:37)
54 ６二飛(82)   ( 0:09/00:03:05)
55 ７一龍(73)   ( 0:04/00:02:41)
56 ６一桂打     ( 0:13/00:03:18)
57 ７四桂打     ( 0:15/00:02:56)
58 ７四馬(29)   ( 0:23/00:03:41)
59 ７四龍(71)   ( 0:01/00:02:57)
60 ７三歩打     ( 0:03/00:03:44)
61 ８三龍(74)   ( 0:08/00:03:05)
62 ９二角打     ( 0:15/00:03:59)
63 ９三龍(83)   ( 0:11/00:03:16)
64 ８一桂打     ( 0:13/00:04:12)
65 ８四龍(93)   ( 0:15/00:03:31)
66 ２九角成(92)   ( 0:08/00:04:20)
67 ８一龍(84)   ( 0:07/00:03:38)
68 １九馬(29)   ( 0:02/00:04:22)
69 ７一銀打     ( 0:09/00:03:47)
70 ９二飛(62)   ( 0:04/00:04:26)
71 ８二銀成(71)   ( 0:01/00:03:48)
72 ９四飛(92)   ( 0:07/00:04:33)
73 ６一龍(81)   ( 0:03/00:03:51)
74 ５一香打     ( 0:03/00:04:36)
75 ７二成銀(82)   ( 0:05/00:03:56)
76 ４四飛(94)   ( 0:18/00:04:54)
77 ６二成銀(72)   ( 0:20/00:04:16)
78 ６二金(52)   ( 0:05/00:04:59)
79 ６二龍(61)   ( 0:02/00:04:18)
80 ５二銀打     ( 0:02/00:05:01)
